Date,Open,High,Low,Close,Volume,F_open,F_high,F_low,MA_5,MA_10,MA_20,MA_50,Momentum_5,Momentum_10,Volatility_5,Volatility_10,Volatility_20,Volume_SMA,Volume_ratio,Volume_change,High_Low_Spread,Close_Position,Body_Size,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_lower,BB_position,ATR_14,Price_Change_1,Price_Change_3,Price_Change_5,return_ratio,movement
2023-10-03,-2.4440395230781555,-2.258798155193633,-2.3918022844760665,-2.172320918875489,14.984473717428614,-3.6905293673231454,-1.3646918402248407,-4.8779705592673555,-2.149850973627851,-2.126035946666226,-2.076631865827299,-1.935398185485184,1.2133021958533323,1.3487255503558098,1.4985369170880072,0.974512178048924,0.7799491718337281,11.593877875630861,0.05250661434579181,-0.7239420262816413,3.158563771230266,2.2142518425197784,4.15242069866529,-0.20911330152062468,-0.3134933278397917,-0.36826704542316535,0.07682519435042501,-2.078578087891694,-1.8676123983094306,0.429472498178602,2.0454339942495556,1.7193803641573584,1.82241179587303,1.2133021958533323,0.048633179051761566,1
2023-10-04,-2.0197681373193097,-2.0404496788668087,-2.0375518689537877,-2.024203036106007,6.429870565206964,-0.08466080847266909,0.06010401897752901,-0.6684271849988548,-2.0761936686822566,-2.0528494793590544,-2.0044114179923573,-1.8651787497940404,1.2133021958533323,1.3487255503558098,1.4985369170880072,0.974512178048924,0.7799491718337281,8.248432360420509,-0.4648638211131663,-0.7239420262816413,0.6494105662415234,0.49305774989740253,-1.037076673748828,-0.20911330152062468,-0.22664725080270307,-0.3492345315909172,0.31310607738941487,-2.078578087891694,-1.8676123983094306,0.429472498178602,1.210961936087735,1.7193803641573584,1.82241179587303,1.2133021958533323,-0.006971734146643538,0
2023-10-05,-1.992891222845867,-2.0567297488080247,-2.0589623077639696,-2.0464688845506767,1.3101643214064709,0.5269594062054708,0.18489219499098974,-0.6615595485737763,-2.059022932466699,-2.0357885031855685,-1.9875756369376585,-1.8488094377706303,1.2133021958533323,1.3487255503558098,1.4985369170880072,0.974512178048924,0.7799491718337281,5.798509427459001,-0.9961747219015196,-0.8923976221721691,0.7526582583113262,0.40971434099405557,-0.13905550007164155,2.0527075171784475,-0.1726503042200205,-0.3221749677868047,0.41275862314701234,-2.108182141205497,-1.79929307373029,0.1964771192684951,0.504293339236633,-0.32783328954619234,1.82241179587303,1.2133021958533323,0.047619109983519925,1
2023-10-06,-2.0188082237765403,-1.9513860306053716,-1.9674799851820475,-1.8954465026969398,1.2684889525058622,-1.596499173840085,-0.7255541363101938,-1.6963374775097662,-2.012886725034803,-1.9899472110097902,-1.9423394235763576,-1.8048265842954698,1.2133021958533323,1.3487255503558098,1.4985369170880072,0.974512178048924,0.7799491718337281,4.565398975367671,-0.9288809060537355,-0.23157387662155765,0.8784213781723966,1.5012297514615882,1.0778273367426257,2.4287651294548804,-0.0434009785776738,-0.2722020352567509,0.6972187340751896,-2.0047410855946945,-1.8203799173672985,0.8704476419032364,0.26372616946334776,1.6820452453182146,1.82241179587303,1.2133021958533323,-0.05099068764684489,0
2023-10-09,-1.964094443701092,-2.0337456621904804,-2.021980152897343,-2.064862463123263,0.5234140555795431,1.1215585761183393,1.0213463191493677,0.4054554597351643,-2.0189044373389984,-1.9959264564510981,-1.9482397464007108,-1.8105634268593453,1.2133021958533323,1.3487255503558098,1.4985369170880072,0.974512178048924,0.7799491718337281,3.708982237513117,-1.0376322773778939,-0.5864972031202903,0.5332607026588578,-0.7945827429229957,0.733974252082035,0.46129995156829484,-0.04454903339325279,-0.23247528803720377,0.5700165297691251,-2.0362701813028767,-1.7974565322727751,-0.3771005893640073,0.19606707982181973,-1.9484850888900438,-0.3992579917108991,1.2133021958533323,0.04237019174811385,1
2023-10-10,-2.0408857594289898,-1.923613893921793,-1.9859712118130939,-1.9312661857344768,0.830841484946333,-1.4506386616646874,0.49977878754888005,-1.3997907915396186,-1.970954948308887,-1.9779088858352143,-1.9304599974026428,-1.79327630141493,1.2133021958533323,1.3487255503558098,1.4985369170880072,0.974512178048924,0.7799491718337281,3.1781129229357394,-0.9114116514481786,0.04813443033032987,1.6877060437473832,0.5769430081278418,0.8636653041717491,0.9730190069810345,0.029818213719982268,-0.18439614017730602,0.6737081711461875,-2.0193812636804847,-1.7791620176129355,0.608472886744755,0.2674844826841194,1.4887951085838034,0.6523190001320042,1.2133021958533323,0.017378528713225094,1
2023-10-11,-1.8921027179726855,-1.9044603548304064,-1.8468013741191578,-1.8741487217202912,0.2279832425752989,-0.33640304017431943,-0.23971415642995175,0.1381615052402005,-1.9411068403385292,-1.9569756819370387,-1.9098030998125304,-1.7731917445423033,0.6588481007008702,1.3487255503558098,1.2234012954481555,0.974512178048924,0.7799491718337281,2.7315606834959563,-1.0515751438859544,-0.6088145179177681,-0.3334546324066778,0.10537664192771545,-0.7723289886105302,1.1305774034480784,0.11766049717692743,-0.12668198717135465,0.7933228234228308,-1.9867966022879326,-1.7724049379333988,0.8412357871581956,-0.06168516530895279,0.5686736507689913,0.01105968785681337,0.6588481007008702,-0.003184724961016072,0
2023-10-12,-1.8556270092846416,-1.9236137123707204,-1.8273370453419626,-1.8847977605487118,-0.07641599762815005,0.22181188824364834,-0.3999434754782684,0.6893487925057379,-1.908947970500935,-1.9425912270833776,-1.8956085115284322,-1.759390445754244,0.7276765946354465,1.3487255503558098,1.1965431115344172,0.974512178048924,0.7799491718337281,2.3668861791280658,-1.1294643164831633,-0.5610385891368527,-0.9659623088253916,-0.590025534772964,-0.5870932294474792,1.0628565571163526,0.17532550564749727,-0.0678732479851295,0.8069116636315874,-1.9729030537103032,-1.7582581186791157,0.6380860519458896,-0.4467014048072102,-0.18840645717520532,1.097829865047233,0.7276765946354465,-0.01103697526458236,0
2023-10-13,-1.9151404001119792,-1.9264873135279588,-1.863346250555558,-1.9215855110542694,-0.09568266473075718,-0.05117343019092171,0.2550233004293813,0.7036317748204656,-1.914147420759207,-1.9354426912111506,-1.8885543322374776,-1.7525317166280128,-0.28669307517308285,1.3487255503558098,0.802116733703882,0.974512178048924,0.7799491718337281,2.081576096079046,-1.117510966856608,-0.2464778862495726,-0.40462521028653897,-0.948419299899797,-0.9879082943750821,0.8441344532416971,0.1933642670728975,-0.01687302134840078,0.7099721706840016,-1.9746530655805452,-1.741548161104175,0.30944598700546816,-0.6609582264118968,-0.477503824819686,-0.06321201704633053,-0.28669307517308285,-0.014096756277212852,0
2023-10-16,-1.9084209361558675,-1.9963966061088374,-1.933417464359474,-1.9680533428796496,-0.17193826340442928,0.5932270419588354,-0.18854366442117884,0.2590598938548154,-1.8948905997515875,-1.9343159028411616,-1.8874424168289328,-1.7514506090627044,0.378193702897158,1.3487255503558098,-0.024251795935206186,0.974512178048924,0.7799491718337281,1.8473637798423101,-1.1321681562969699,-0.35685225570811485,-0.3965331958832811,-0.07149032399207521,-0.04175698277628817,0.5975217185508912,0.17447552377116393,0.019787649226254384,0.5319524409416783,-1.9841617318698301,-1.728588022201064,-0.07996575658760949,-0.8346184289732529,-0.5901561986135127,-0.7283557487682825,0.378193702897158,0.05451282102310562,1
